original_id,Entity Group ID,Entity Category,Entity Subgroup ID,Name,original_classification_dict
15,Firm,,Surveyor,Associated Land Surveying and Planning,"{'original_id': 15, 'Name': 'Associated Land Surveying and Planning', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
16,Firm,Survey,Surveyor,Atlas Land Surveying,"{'original_id': 16, 'Name': 'Atlas Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
18,Firm,Engineering - Civil,Engineer,"Bailey Engineering, Inc.","{'original_id': 18, 'Name': 'Bailey Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
19,Firm,Engineering - Structural,Engineer,"Basic Engineering, P.C.","{'original_id': 19, 'Name': 'Basic Engineering, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Structural', 'Entity Subgroup ID': 'Engineer'}"
20,Firm,Survey,Surveyor,"Bergey Land Surveying, PLLC","{'original_id': 20, 'Name': 'Bergey Land Surveying, PLLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
21,Firm,Engineering - Civil,"Engineer, Surveyor",Blakley Butrula Engineers,"{'original_id': 21, 'Name': 'Blakley Butrula Engineers', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
23,Agency,,Public Agency,City of Boise City,"{'original_id': 23, 'Name': 'City of Boise City', 'Entity Group ID': 'Agency', 'Entity Category': None, 'Entity Subgroup ID': 'Public Agency'}"
24,Firm,,Public Agency,Boise City Public Works Department,"{'original_id': 24, 'Name': 'Boise City Public Works Department', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Public Agency'}"
26,Firm,Engineering - Full Service,"Builder, Engineer","Briggs Engineering, Inc.","{'original_id': 26, 'Name': 'Briggs Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Builder, Engineer'}"
28,Firm,Survey,Surveyor,"Brokaw Surveying and Mapping, LLC","{'original_id': 28, 'Name': 'Brokaw Surveying and Mapping, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
29,Firm,,Surveyor,Byrns Land Survey,"{'original_id': 29, 'Name': 'Byrns Land Survey', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
31,Firm,,Engineer,"Cardno WRG, Inc.","{'original_id': 31, 'Name': 'Cardno WRG, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
32,Firm,,Surveyor,Carson Survey,"{'original_id': 32, 'Name': 'Carson Survey', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
34,Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","CH2M Hill Engineers, Inc.","{'original_id': 34, 'Name': 'CH2M Hill Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
35,Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","CH2M Hill, Inc.","{'original_id': 35, 'Name': 'CH2M Hill, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
38,Firm,Engineering - Civil,Engineer,"CK Engineering, PC","{'original_id': 38, 'Name': 'CK Engineering, PC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
40,Firm,Engineering - Civil,"Engineer, Surveyor","Claiborn Consulting, LLC","{'original_id': 40, 'Name': 'Claiborn Consulting, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
41,Firm,Survey,Surveyor,"Compass Land Surveying, PLLC","{'original_id': 41, 'Name': 'Compass Land Surveying, PLLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
43,Firm,,Surveyor,Critser Incorporated,"{'original_id': 43, 'Name': 'Critser Incorporated', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
44,Firm,Survey,Surveyor,"D. Short & Company, P.C.","{'original_id': 44, 'Name': 'D. Short & Company, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
46,Firm,Engineering - Civil,"Engineer, Surveyor",Davenport Engineers,"{'original_id': 46, 'Name': 'Davenport Engineers', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
48,Firm,Engineering - Full Service,Engineer,"Dominion Engineering Associates, L.C.","{'original_id': 48, 'Name': 'Dominion Engineering Associates, L.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
49,Firm,Survey,Surveyor,Droulard Land Surveying,"{'original_id': 49, 'Name': 'Droulard Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
50,Firm,Survey,Surveyor,"DTP Surveying, LLC","{'original_id': 50, 'Name': 'DTP Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
51,Firm,Survey,Surveyor,E Land Surveying,"{'original_id': 51, 'Name': 'E Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
52,Firm,Survey,Surveyor,"Eagle Land Surveying, LLC","{'original_id': 52, 'Name': 'Eagle Land Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
53,Firm,,Engineer,"Earl & Associates, Inc.","{'original_id': 53, 'Name': 'Earl & Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
54,Firm,Engineering - Civil,Engineer,Edwards Engineering,"{'original_id': 54, 'Name': 'Edwards Engineering', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
55,Firm,Engineering - Full Service,Engineer,"EHM Engineers, Inc.","{'original_id': 55, 'Name': 'EHM Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
57,Firm,Survey,Surveyor,"Engebritson Land Survey, Inc.","{'original_id': 57, 'Name': 'Engebritson Land Survey, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
59,Firm,Engineering - Civil,Engineer,"Engineering Solutions, LLP","{'original_id': 59, 'Name': 'Engineering Solutions, LLP', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
62,Firm,Survey,"Engineer, Planner, Surveyor","Fodrea Land Group, Inc.","{'original_id': 62, 'Name': 'Fodrea Land Group, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
63,Firm,Engineering - Civil,Engineer,"Forsgren Associates, Inc.","{'original_id': 63, 'Name': 'Forsgren Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
65,Firm,Survey,Surveyor,Garber Associates,"{'original_id': 65, 'Name': 'Garber Associates', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
66,Firm,Survey,Surveyor,"Gradetek, PLLC","{'original_id': 66, 'Name': 'Gradetek, PLLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
67,Firm,,Engineer,Great Basin Engineering South,"{'original_id': 67, 'Name': 'Great Basin Engineering South', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
68,Firm,,Surveyor,Hadfield Survey,"{'original_id': 68, 'Name': 'Hadfield Survey', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
69,Firm,Engineering - Full Service,Engineer,"Harper-Leavitt Engineering, Inc.","{'original_id': 69, 'Name': 'Harper-Leavitt Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
72,Firm,Survey,Surveyor,Hastings Land Surveying,"{'original_id': 72, 'Name': 'Hastings Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
73,Firm,,Surveyor,Helm Survey,"{'original_id': 73, 'Name': 'Helm Survey', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
75,Firm,Engineering - Full Service,Engineer,"Horrocks Engineers, Inc.","{'original_id': 75, 'Name': 'Horrocks Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
76,Firm,Survey,Surveyor,"Idaho Construction Surveying/Landtech, Inc.","{'original_id': 76, 'Name': 'Idaho Construction Surveying/Landtech, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
77,Firm,Survey,Surveyor,"Idaho Survey Group, LLC","{'original_id': 77, 'Name': 'Idaho Survey Group, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
82,Firm,,Surveyor,J R Weissrock Co,"{'original_id': 82, 'Name': 'J R Weissrock Co', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
83,Firm,Engineering - Full Service,Engineer,"J-U-B Engineers, Inc. (Boise) (Johnson, Underkofler & Briggs)","{'original_id': 83, 'Name': 'J-U-B Engineers, Inc. (Boise) (Johnson, Underkofler & Briggs)', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
84,Firm,,Engineer,J.J. Howard Consulting Engineers,"{'original_id': 84, 'Name': 'J.J. Howard Consulting Engineers', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
85,Firm,,Engineer,J.J. Howard Engineering,"{'original_id': 85, 'Name': 'J.J. Howard Engineering', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
86,Firm,Engineering - Civil,"Engineer, Surveyor",J.J. Howard Engineering and Surveying,"{'original_id': 86, 'Name': 'J.J. Howard Engineering and Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
87,Firm,,Engineer,J.J. Howard Engineers,"{'original_id': 87, 'Name': 'J.J. Howard Engineers', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
88,Firm,Engineering - Civil,"Engineer, Surveyor","J.J. Howard, LLC","{'original_id': 88, 'Name': 'J.J. Howard, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
89,Firm,Survey,Surveyor,"John Austin Surveying, P.C.","{'original_id': 89, 'Name': 'John Austin Surveying, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
90,Firm,Engineering - Full Service,Engineer,Johnson Engineering,"{'original_id': 90, 'Name': 'Johnson Engineering', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
93,Firm,Survey,Surveyor,Johnson Surveying NW,"{'original_id': 93, 'Name': 'Johnson Surveying NW', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
95,Firm,Engineering - Civil,"Engineer, Surveyor","Keller Associates, Inc.","{'original_id': 95, 'Name': 'Keller Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
96,Firm,Planning,Planner,Kent Brown Planning Services LLC,"{'original_id': 96, 'Name': 'Kent Brown Planning Services LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Planning', 'Entity Subgroup ID': 'Planner'}"
97,Firm,Survey,Surveyor,"Kestrel Land Surveying, LLC","{'original_id': 97, 'Name': 'Kestrel Land Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
98,Firm,Engineering - Civil,Engineer,"KM Engineering, LLP","{'original_id': 98, 'Name': 'KM Engineering, LLP', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
100,Firm,Engineering - Civil,"Engineer, Planner, Surveyor","Land Group, Inc. (The)","{'original_id': 100, 'Name': 'Land Group, Inc. (The)', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
101,Firm,Survey,Surveyor,"Land Solutions, Land Surveying and Consulting, PC","{'original_id': 101, 'Name': 'Land Solutions, Land Surveying and Consulting, PC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
102,Firm,,"Engineer, Planner","Landmark Engineering & Planning, Inc.","{'original_id': 102, 'Name': 'Landmark Engineering & Planning, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer, Planner'}"
103,Firm,"Engineering - Civil, Structural",Engineer,"Leavitt & Associates Engineers, Inc.","{'original_id': 103, 'Name': 'Leavitt & Associates Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil, Structural', 'Entity Subgroup ID': 'Engineer'}"
104,Firm,,Engineer,"Loveless Engineering, Inc.","{'original_id': 104, 'Name': 'Loveless Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
106,Firm,Survey,Surveyor,"Marks Land Surveying, LLC","{'original_id': 106, 'Name': 'Marks Land Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
108,Firm,Engineering - Civil,Engineer,"Matrix Engineering, Inc.","{'original_id': 108, 'Name': 'Matrix Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
111,Firm,,Engineers,"MTC, Inc.","{'original_id': 111, 'Name': 'MTC, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineers'}"
113,Firm,,Surveyor,Myers Survey,"{'original_id': 113, 'Name': 'Myers Survey', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
115,Firm,,Surveyor,Pacific Land Surveys,"{'original_id': 115, 'Name': 'Pacific Land Surveys', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
116,Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","Parametrix, Inc.","{'original_id': 116, 'Name': 'Parametrix, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
119,Firm,Survey,Surveyor,"Porter's Land Surveying, Inc.","{'original_id': 119, 'Name': ""Porter's Land Surveying, Inc."", 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
121,Firm,Engineering - Civil,"Engineer, Surveyor","Quadrant Consulting, Inc.","{'original_id': 121, 'Name': 'Quadrant Consulting, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
122,Firm,Engineering - Civil,"Engineer, Planner, Surveyor","Reeve & Associates, Inc.","{'original_id': 122, 'Name': 'Reeve & Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Planner, Surveyor'}"
126,Firm,Engineering - Full Service,Engineer,"Riedesel Engineering, Inc.","{'original_id': 126, 'Name': 'Riedesel Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
127,Firm,Survey,Surveyor,Ringel Land Survey,"{'original_id': 127, 'Name': 'Ringel Land Survey', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
128,Firm,,Builder,"RMC Construction, L.L.C.","{'original_id': 128, 'Name': 'RMC Construction, L.L.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
129,Firm,,Surveyor,Robert Nelson Land Surveys,"{'original_id': 129, 'Name': 'Robert Nelson Land Surveys', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
130,Firm,Engineering - Civil,"Engineer, Surveyor", Rock Solid Civil LLC,"{'original_id': 130, 'Name': ' Rock Solid Civil LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
131,Firm,Survey,"Engineer, Surveyor","Rodney L Baldwin, PE/LS","{'original_id': 131, 'Name': 'Rodney L Baldwin, PE/LS', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
133,Firm,,Surveyor,"Sawtooth Construction Staking, LLC.","{'original_id': 133, 'Name': 'Sawtooth Construction Staking, LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
134,Firm,Survey,Surveyor,"Sawtooth Land Surveying, LLC","{'original_id': 134, 'Name': 'Sawtooth Land Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
135,Firm,Engineering - Civil,"Engineer, Surveyor","Sharp & Smith, Inc.","{'original_id': 135, 'Name': 'Sharp & Smith, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer, Surveyor'}"
136,Firm,,Surveyor,Skinner & Associates,"{'original_id': 136, 'Name': 'Skinner & Associates', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
137,Firm,Survey,Engineer,"Skinner Land Survey Co., Inc.","{'original_id': 137, 'Name': 'Skinner Land Survey Co., Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Engineer'}"
138,Firm,,Surveyor,"Skinner, Earl & Associates, Inc.","{'original_id': 138, 'Name': 'Skinner, Earl & Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
144,Firm,,"Engineer, Survey","Sunrise Engineering, Inc.","{'original_id': 144, 'Name': 'Sunrise Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer, Survey'}"
145,Firm,Engineering - Full Service,Engineer,"Ardurra Group, Inc. (formerly T-O Engineers, Inc.)","{'original_id': 145, 'Name': 'Ardurra Group, Inc. (formerly T-O Engineers, Inc.)', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer'}"
147,Firm,Survey,Surveyor,Taylor Mountain Surveying (TMS),"{'original_id': 147, 'Name': 'Taylor Mountain Surveying (TMS)', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
148,Firm,Survey,Surveyor,TE Land Surveying,"{'original_id': 148, 'Name': 'TE Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
149,Firm,Survey,Surveyor,Tealey's Land Surveying,"{'original_id': 149, 'Name': ""Tealey's Land Surveying"", 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
151,Firm,Survey,Surveyor,"Three Rivers Land Surveying, PC","{'original_id': 151, 'Name': 'Three Rivers Land Surveying, PC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
153,Firm,Survey,Surveyor,Timberline Surveying PLLC,"{'original_id': 153, 'Name': 'Timberline Surveying PLLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
154,Firm,,Engineer,Toothman-Orton Engineering,"{'original_id': 154, 'Name': 'Toothman-Orton Engineering', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
157,Firm,Survey,Surveyor,"Tri County Surveying, Inc.","{'original_id': 157, 'Name': 'Tri County Surveying, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
158,Firm,Planning,Planner,"ULC Management, LLC","{'original_id': 158, 'Name': 'ULC Management, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Planning', 'Entity Subgroup ID': 'Planner'}"
161,Firm,,Planner,W. H. Weaver Planning & Design Associates,"{'original_id': 161, 'Name': 'W. H. Weaver Planning & Design Associates', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Planner'}"
162,Firm,Survey,Surveyor,"Waite Land Surveying, LLC","{'original_id': 162, 'Name': 'Waite Land Surveying, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
163,Firm,Survey,Surveyor,"Wellington Land Surveying, P.C.","{'original_id': 163, 'Name': 'Wellington Land Surveying, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
164,Firm,Survey,Surveyor,Westbound Surveying Services P.C.,"{'original_id': 164, 'Name': 'Westbound Surveying Services P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
165,Firm,Engineering - Civil,Engineer,"Whipple Consulting Engineers, Inc.","{'original_id': 165, 'Name': 'Whipple Consulting Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
167,Firm,,Builder,"Ranger R., Inc.","{'original_id': 167, 'Name': 'Ranger R., Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
168,Firm,,Engineer,"Ludlow Engineering and Associates, LLC","{'original_id': 168, 'Name': 'Ludlow Engineering and Associates, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
170,Firm,Engineering - Full Service,"Engineer, Planner, Survey",RiveRidge Engineering Company,"{'original_id': 170, 'Name': 'RiveRidge Engineering Company', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Full Service', 'Entity Subgroup ID': 'Engineer, Planner, Survey'}"
171,Firm,Planning,Planner,"SLN Planning, LLC","{'original_id': 171, 'Name': 'SLN Planning, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Planning', 'Entity Subgroup ID': 'Planner'}"
172,Firm,,Planner,"Rose Law Group, P.C.","{'original_id': 172, 'Name': 'Rose Law Group, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Planner'}"
175,Firm,Engineering - Civil,Engineer,"Civil Innovations, PLLC","{'original_id': 175, 'Name': 'Civil Innovations, PLLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
186,Firm,Engineering - Civil,Engineer,"Erickson-Civil, Inc.","{'original_id': 186, 'Name': 'Erickson-Civil, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
375,Firm,Survey,Planner,NorthSide Management LLC,"{'original_id': 375, 'Name': 'NorthSide Management LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Planner'}"
378,Firm,,Engineer,"Munger Engineering, Inc.","{'original_id': 378, 'Name': 'Munger Engineering, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Engineer'}"
381,Firm,Planning,Planner,Riley Planning Services LLC,"{'original_id': 381, 'Name': 'Riley Planning Services LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Planning', 'Entity Subgroup ID': 'Planner'}"
386,Firm,Engineering - Civil,Engineer,"Nemec Engineering, LLC","{'original_id': 386, 'Name': 'Nemec Engineering, LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Civil', 'Entity Subgroup ID': 'Engineer'}"
