original_id,entity_group_id,entity_category,entity_subgroup_id,confidence,candidates,ID,Entity Group ID,Entity Subgroup ID,Entity Category,Name,IDSOS Name,status
32,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",32,Firm,Surveyor,,Carson Survey,Carson Survey,7.0
34,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Planner, Surveying', 'confidence': 80.0, 'reasoning': ""The input lists Engineer, Planner, Surveyor as subgroups, but the rules specify 'Full Service' if known. Listing specialties is a valid alternative.""}]",34,Firm,"Engineer, Planner, Surveyor",Engineering - Full Service,"CH2M Hill Engineers, Inc.","CH2M Hill Engineers, Inc.",7.0
35,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Planner, Surveying', 'confidence': 80.0, 'reasoning': ""The input lists Engineer, Planner, Surveyor as subgroups, but the rules specify 'Full Service' if known. Listing specialties is a valid alternative.""}]",35,Firm,"Engineer, Planner, Surveyor",Engineering - Full Service,"CH2M Hill, Inc.","CH2M Hill, Inc.",7.0
38,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""If 'PC' in the name implies a full-service engineering firm, but 'Civil' is more directly supported by the input category.""}]",38,Firm,Engineer,Engineering - Civil,"CK Engineering, PC","CK ENGINEERING, PC",7.0
40,Private,Engineering,Civil,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 70.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup suggests possible Surveying, but the primary category is Engineering - Civil.""}]",40,Firm,"Engineer, Surveyor",Engineering - Civil,"Claiborn Consulting, LLC","CLAIBORN CONSULTING, LLC",7.0
41,Private,Surveying,,99.0,[],41,Firm,Surveyor,Survey,"Compass Land Surveying, PLLC","COMPASS LAND SURVEYING, PLLC",7.0
43,Private,Surveying,,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 40.0, 'reasoning': ""No category provided, but 'Surveyor' in the subgroup and no evidence of engineering specialty.""}]",43,Firm,Surveyor,,Critser Incorporated,CRITSER INCORPORATED,7.0
44,Private,Surveying,,99.0,[],44,Firm,Surveyor,Survey,"D. Short & Company, P.C.","D. SHORT & COMPANY, P.C.",7.0
46,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The input includes 'Surveyor' in the subgroup, but the primary category and company name emphasize engineering, specifically civil engineering.""}]",46,Firm,"Engineer, Surveyor",Engineering - Civil,Davenport Engineers,Davenport Engineers,7.0
48,Private,Engineering,Full Service,98.0,[],48,Firm,Engineer,Engineering - Full Service,"Dominion Engineering Associates, L.C.","DOMINION ENGINEERING ASSOCIATES, L.C.",7.0
49,Private,Surveying,,99.0,[],49,Firm,Surveyor,Survey,Droulard Land Surveying,DROULARD LAND SURVEYING,7.0
50,Private,Surveying,,99.0,[],50,Firm,Surveyor,Survey,"DTP Surveying, LLC","DTP SURVEYING, LLC",7.0
51,Private,Surveying,,99.0,[],51,Firm,Surveyor,Survey,E Land Surveying,E Land Surveying,7.0
52,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 30.0, 'reasoning': 'The name and input category both indicate surveying, but in rare cases, land surveying firms may also provide engineering services. However, the rules specify Surveying as a separate category unless included within Engineering.'}]",52,Firm,Surveyor,Survey,"Eagle Land Surveying, LLC","EAGLE LAND SURVEYING, LLC.",7.0
53,Private,Engineering,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""The name and subgroup both indicate engineering, but the category is missing. There is a small chance it could be another professional service, but 'Engineer' is the most likely.""}]",53,Firm,Engineer,,"Earl & Associates, Inc.","Earl & Associates, Inc.",7.0
54,Private,Engineering,Civil,99.0,[],54,Firm,Engineer,Engineering - Civil,Edwards Engineering,EDWARDS ENGINEERING,7.0
55,Private,Engineering,Full Service,99.0,[],55,Firm,Engineer,Engineering - Full Service,"EHM Engineers, Inc.","EHM ENGINEERS, INC.",7.0
57,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 30.0, 'reasoning': 'The name and input category both indicate surveying, but in rare cases, land surveying firms may also provide engineering services. However, the rules specify Surveying as a separate category unless included within Engineering.'}]",57,Firm,Surveyor,Survey,"Engebritson Land Survey, Inc.","Engebritson Land Survey, Inc.",7.0
59,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'Engineering Solutions' could imply a broader service, but 'Engineering - Civil' is explicit in the input.""}]",59,Firm,Engineer,Engineering - Civil,"Engineering Solutions, LLP","ENGINEERING SOLUTIONS, LLP",7.0
62,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil, Planning, Surveying', 'confidence': 60.0, 'reasoning': 'Entity Subgroup ID lists Engineer, Planner, Surveyor, but the primary category is Survey. If the firm is multi-disciplinary, Engineering could be considered.'}]",62,Firm,"Engineer, Planner, Surveyor",Survey,"Fodrea Land Group, Inc.","FODREA LAND GROUP, INC.",7.0
63,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'Associates' could imply multiple specialties, but 'Engineering - Civil' is explicit.""}]",63,Firm,Engineer,Engineering - Civil,"Forsgren Associates, Inc.","Forsgren Associates, Inc.",7.0
65,Private,Surveying,,99.0,[],65,Firm,Surveyor,Survey,Garber Associates,GARBER ASSOCIATES,7.0
66,Private,Surveying,,99.0,[],66,Firm,Surveyor,Survey,"Gradetek, PLLC","GRADETEK, PLLC",7.0
67,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name 'Great Basin Engineering South' and the subgroup 'Engineer' indicate an engineering firm. 'Full Service' could be a candidate if more information was available, but not explicit here.""}]",67,Firm,Engineer,,Great Basin Engineering South,,7.0
68,Private,Surveying,,98.0,[],68,Firm,Surveyor,,Hadfield Survey,Hadfield Survey,7.0
69,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is explicitly mentioned in the category.""}]",69,Firm,Engineer,Engineering - Full Service,"Harper-Leavitt Engineering, Inc.","Harper-Leavitt Engineering, Inc.",7.0
72,Private,Surveying,,98.0,[],72,Firm,Surveyor,Survey,Hastings Land Surveying,HASTINGS LAND SURVEYING,7.0
73,Private,Surveying,,98.0,[],73,Firm,Surveyor,,Helm Survey,Helm Survey,7.0
75,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is specified in the category, so it is most accurate to use that as the subgroup.""}]",75,Firm,Engineer,Engineering - Full Service,"Horrocks Engineers, Inc.",Horrocks LLC,7.0
76,Private,Surveying,,97.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 60.0, 'reasoning': ""The name includes 'Construction Surveying', which could indicate civil engineering, but the primary activity is surveying.""}]",76,Firm,Surveyor,Survey,"Idaho Construction Surveying/Landtech, Inc.","IDAHO CONSTRUCTION SURVEYING/LANDTECH, INC.",7.0
77,Private,Surveying,,99.0,[],77,Firm,Surveyor,Survey,"Idaho Survey Group, LLC","Idaho Survey Group, LLC",7.0
82,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 50.0, 'reasoning': ""No category is given, but 'Surveyor' in the subgroup and the company name suggest surveying as the primary activity.""}]",82,Firm,Surveyor,,J R Weissrock Co,J R Weissrock Co,7.0
83,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is specified in the category, so it is most accurate to use that as the subgroup.""}]",83,Firm,Engineer,Engineering - Full Service,"J-U-B Engineers, Inc. (Boise) (Johnson, Underkofler & Briggs)","J-U-B Engineers, Inc.",7.0
84,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name includes 'Consulting Engineers', which often implies a range of engineering services, but without explicit mention of 'Full Service', defaulting to NULL is more consistent.""}]",84,Firm,Engineer,,J.J. Howard Consulting Engineers,J.J. HOWARD CONSULTING ENGINEERS,7.0
85,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 65.0, 'reasoning': ""The name 'Engineering' could imply a broad service, but without explicit specialty, NULL is more consistent.""}]",85,Firm,Engineer,,J.J. Howard Engineering,J.J. HOWARD ENGINEERING,7.0
86,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The name includes 'Surveying', but the primary category in the input is 'Engineering - Civil', so Engineering is prioritized.""}]",86,Firm,"Engineer, Surveyor",Engineering - Civil,J.J. Howard Engineering and Surveying,J.J. HOWARD ENGINEERING AND SURVEYING,7.0
87,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 65.0, 'reasoning': ""The name 'Engineers' could imply a broad service, but without explicit specialty, NULL is more consistent.""}]",87,Firm,Engineer,,J.J. Howard Engineers,J.J. HOWARD ENGINEERS,7.0
88,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The input includes 'Surveyor', but the primary category is 'Engineering - Civil', so Engineering is prioritized.""}]",88,Firm,"Engineer, Surveyor",Engineering - Civil,"J.J. Howard, LLC","J.J. HOWARD, LLC",7.0
89,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",89,Firm,Surveyor,Survey,"John Austin Surveying, P.C.","JOHN AUSTIN SURVEYING, P.C.",7.0
90,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': ""If 'Full Service' is not explicitly stated, default to blank, but the input data specifies 'Full Service'.""}]",90,Firm,Engineer,Engineering - Full Service,Johnson Engineering,JOHNSON ENGINEERING,7.0
93,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",93,Firm,Surveyor,Survey,Johnson Surveying NW,"JOHNSON SURVEYING, LLC",7.0
95,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil, Surveying', 'confidence': 60.0, 'reasoning': ""The input lists both Engineer and Surveyor, so it could be 'Civil, Surveying' as the subgroup, but the primary specialty is Civil Engineering.""}]",95,Firm,"Engineer, Surveyor",Engineering - Civil,"Keller Associates, Inc.","KELLER ASSOCIATES, INC.",7.0
96,Private,Other,,60.0,"[{'entity_group_id': 'Private', 'entity_category': 'Agency', 'entity_subgroup_id': 'Urban Renewal', 'confidence': 30.0, 'reasoning': 'If the planning services are for a public agency, it could be classified as Agency - Urban Renewal, but the LLC and context suggest a private planning consultant.'}]",96,Firm,Planner,Planning,Kent Brown Planning Services LLC,KENT BROWN PLANNING SERVICES LLC,6.0
97,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 40.0, 'reasoning': ""The name and input category both indicate surveying, but if the firm also provides engineering services, 'Engineering' with 'Land' as a subgroup could be considered. However, no such indication is present here.""}]",97,Firm,Surveyor,Survey,"Kestrel Land Surveying, LLC","KESTREL LAND SURVEYING, LLC",7.0
98,Private,Engineering,Civil,99.0,[],98,Firm,Engineer,Engineering - Civil,"KM Engineering, LLP","KM ENGINEERING, LLP",7.0
100,Private,Engineering,"Civil, Planning, Surveying",95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup and 'Land' in the name could suggest a surveying firm, but the primary category is engineering with multiple specialties.""}]",100,Firm,"Engineer, Planner, Surveyor",Engineering - Civil,"Land Group, Inc. (The)","LAND GROUP, INC. (THE)",7.0
101,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 20.0, 'reasoning': ""If the consulting aspect was dominant and not related to surveying, 'Other' could be considered, but all evidence points to surveying.""}]",101,Firm,Surveyor,Survey,"Land Solutions, Land Surveying and Consulting, PC","LAND SOLUTIONS, LAND SURVEYING AND CONSULTING, PC",7.0
102,Private,Engineering,Planning,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""If the firm was not actually an engineering firm, 'Other' could be considered, but the name and subgroup both indicate engineering and planning.""}]",102,Firm,"Engineer, Planner",,"Landmark Engineering & Planning, Inc.","LANDMARK ENGINEERING & PLANNING, INC.",7.0
103,Private,Engineering,"Civil, Structural",98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name includes 'Associates Engineers' which could imply multiple specialties, but 'Civil, Structural' is explicitly stated in the input category.""}]",103,Firm,Engineer,"Engineering - Civil, Structural","Leavitt & Associates Engineers, Inc.","Leavitt & Associates Engineers, Inc.",7.0
104,Private,Engineering,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name is generic and does not specify a specialty, but 'Engineering' is clear from both the name and subgroup.""}]",104,Firm,Engineer,,"Loveless Engineering, Inc.",,7.0
106,Private,Surveying,,99.0,[],106,Firm,Surveyor,Survey,"Marks Land Surveying, LLC","Marks Land Surveying, LLC",7.0
108,Private,Engineering,Civil,99.0,[],108,Firm,Engineer,Engineering - Civil,"Matrix Engineering, Inc.","MATRIX ENGINEERING, INC.",7.0
111,Private,Engineering,,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'MTC, Inc.' is ambiguous, but the subgroup 'Engineers' suggests a general engineering firm.""}]",111,Firm,Engineers,,"MTC, Inc.","MTC, INC.",7.0
113,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",113,Firm,Surveyor,,Myers Survey,,7.0
115,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",115,Firm,Surveyor,,Pacific Land Surveys,,7.0
116,Private,Engineering,Full Service,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': ""Surveying is mentioned, but 'Full Service' engineering and multiple disciplines are indicated, so Engineering is more appropriate.""}]",116,Firm,"Engineer, Planner, Surveyor",Engineering - Full Service,"Parametrix, Inc.","Parametrix, Inc.",7.0
119,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 30.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",119,Firm,Surveyor,Survey,"Porter's Land Surveying, Inc.","PORTER'S LAND SURVEYING, INC.",7.0
121,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': 'Surveyor is mentioned, but the primary category is Civil Engineering, so Engineering is more appropriate.'}]",121,Firm,"Engineer, Surveyor",Engineering - Civil,"Quadrant Consulting, Inc.","QUADRANT CONSULTING, INC.",7.0
122,Private,Engineering,"Civil, Planning, Surveying",95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 70.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup and 'Survey' in the category could indicate a surveying firm, but the primary category is engineering with multiple specialties.""}]",122,Firm,"Engineer, Planner, Surveyor",Engineering - Civil,"Reeve & Associates, Inc.","REEVE & ASSOCIATES, INC.",7.0
126,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""If 'Full Service' is not a recognized subgroup, could default to NULL, but rule specifies to use 'Full Service' if known.""}]",126,Firm,Engineer,Engineering - Full Service,"Riedesel Engineering, Inc.","RIEDESEL ENGINEERING, INC.",7.0
127,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 50.0, 'reasoning': 'If the firm also provides engineering services, could be classified under engineering, but no evidence in the name or other fields.'}]",127,Firm,Surveyor,Survey,Ringel Land Survey,"RLS PROFESSIONAL SERVICES, P.A.",7.0
128,Private,Builder,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""The name includes 'Construction', which by rule would make it a Contractor, but the subgroup is 'Builder', so Builder is prioritized.""}]",128,Firm,Builder,,"RMC Construction, L.L.C.","RMC CONSTRUCTION, L.L.C.",7.0
129,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 50.0, 'reasoning': 'If the firm also provides engineering services, could be classified under engineering, but the name and fields indicate surveying.'}]",129,Firm,Surveyor,,Robert Nelson Land Surveys,ROBERT NELSON LAND SURVEYS,7.0
130,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 70.0, 'reasoning': ""The input includes 'Surveyor' in the subgroup, and the name could indicate surveying services, but the primary category is 'Engineering - Civil', so Engineering is prioritized.""}]",130,Firm,"Engineer, Surveyor",Engineering - Civil, Rock Solid Civil LLC,Rock Solid Civil LLC,7.0
131,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 60.0, 'reasoning': ""The presence of 'PE' (Professional Engineer) and 'Engineer' in the subgroup suggests engineering, but the main category is 'Survey', so Surveying is prioritized.""}]",131,Firm,"Engineer, Surveyor",Survey,"Rodney L Baldwin, PE/LS",,7.0
133,Private,Surveying,,95.0,[],133,Firm,Surveyor,,"Sawtooth Construction Staking, LLC.",,7.0
134,Private,Surveying,,100.0,[],134,Firm,Surveyor,Survey,"Sawtooth Land Surveying, LLC","Sawtooth Land Surveying, LLC",7.0
