Entity Group ID,Entity Category,Entity Subgroup ID,Name,IDSOS Name,original_id,entity_group_id,entity_category,entity_subgroup_id,confidence,candidates,status,needs_audit
Firm,,Public Agency,Boise City Public Works Department,,24,Public,Agency,Water,85.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Municipality', 'confidence': 80.0, 'reasoning': ""The department is part of the city, so 'Municipality' could also apply, but 'Public Works' often refers to water, sewer, and infrastructure.""}]",7.0,0
Firm,Engineering - Full Service,"Builder, Engineer","Briggs Engineering, Inc.","BRIGGS ENGINEERING, INC.",26,Private,Engineering,Full Service,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': '', 'confidence': 40.0, 'reasoning': ""The input subgroup includes 'Builder', but the name and primary category are engineering-focused, and 'Full Service' is a valid engineering subgroup.""}]",7.0,0
Firm,Survey,Surveyor,"Brokaw Surveying and Mapping, LLC","BROKAW SURVEYING AND MAPPING, LLC",28,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': 'The name and input category are clearly about surveying, but if surveying was part of an engineering firm, it could be considered under engineering.'}]",7.0,0
Firm,,Surveyor,Byrns Land Survey,Byrns Land Survey,29,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",7.0,0
Firm,,Engineer,"Cardno WRG, Inc.","CARDNO WRG, INC.",31,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': 'The name does not specify a specialty, but if the firm is known to be full service, this could apply. Defaulting to general Engineering due to lack of detail.'}]",7.0,0
Firm,,Surveyor,Carson Survey,Carson Survey,32,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","CH2M Hill Engineers, Inc.","CH2M Hill Engineers, Inc.",34,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Planner, Surveying', 'confidence': 80.0, 'reasoning': ""The input lists Engineer, Planner, Surveyor as subgroups, but the rules specify 'Full Service' if known. Listing specialties is a valid alternative.""}]",7.0,0
Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","CH2M Hill, Inc.","CH2M Hill, Inc.",35,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Planner, Surveying', 'confidence': 80.0, 'reasoning': ""The input lists Engineer, Planner, Surveyor as subgroups, but the rules specify 'Full Service' if known. Listing specialties is a valid alternative.""}]",7.0,0
Firm,Engineering - Civil,Engineer,"CK Engineering, PC","CK ENGINEERING, PC",38,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""If 'PC' in the name implies a full-service engineering firm, but 'Civil' is more directly supported by the input category.""}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor","Claiborn Consulting, LLC","CLAIBORN CONSULTING, LLC",40,Private,Engineering,Civil,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 70.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup suggests possible Surveying, but the primary category is Engineering - Civil.""}]",7.0,0
Firm,Survey,Surveyor,"Compass Land Surveying, PLLC","COMPASS LAND SURVEYING, PLLC",41,Private,Surveying,,99.0,[],7.0,0
Firm,,Surveyor,Critser Incorporated,CRITSER INCORPORATED,43,Private,Surveying,,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 40.0, 'reasoning': ""No category provided, but 'Surveyor' in the subgroup and no evidence of engineering specialty.""}]",7.0,0
Firm,Survey,Surveyor,"D. Short & Company, P.C.","D. SHORT & COMPANY, P.C.",44,Private,Surveying,,99.0,[],7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor",Davenport Engineers,Davenport Engineers,46,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The input includes 'Surveyor' in the subgroup, but the primary category and company name emphasize engineering, specifically civil engineering.""}]",7.0,0
Firm,Engineering - Full Service,Engineer,"Dominion Engineering Associates, L.C.","DOMINION ENGINEERING ASSOCIATES, L.C.",48,Private,Engineering,Full Service,98.0,[],7.0,0
Firm,Survey,Surveyor,Droulard Land Surveying,DROULARD LAND SURVEYING,49,Private,Surveying,,99.0,[],7.0,0
Firm,Survey,Surveyor,"DTP Surveying, LLC","DTP SURVEYING, LLC",50,Private,Surveying,,99.0,[],7.0,0
Firm,Survey,Surveyor,E Land Surveying,E Land Surveying,51,Private,Surveying,,99.0,[],7.0,0
Firm,Survey,Surveyor,"Eagle Land Surveying, LLC","EAGLE LAND SURVEYING, LLC.",52,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 30.0, 'reasoning': 'The name and input category both indicate surveying, but in rare cases, land surveying firms may also provide engineering services. However, the rules specify Surveying as a separate category unless included within Engineering.'}]",7.0,0
Firm,,Engineer,"Earl & Associates, Inc.","Earl & Associates, Inc.",53,Private,Engineering,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""The name and subgroup both indicate engineering, but the category is missing. There is a small chance it could be another professional service, but 'Engineer' is the most likely.""}]",7.0,0
Firm,Engineering - Civil,Engineer,Edwards Engineering,EDWARDS ENGINEERING,54,Private,Engineering,Civil,99.0,[],7.0,0
Firm,Engineering - Full Service,Engineer,"EHM Engineers, Inc.","EHM ENGINEERS, INC.",55,Private,Engineering,Full Service,99.0,[],7.0,0
Firm,Survey,Surveyor,"Engebritson Land Survey, Inc.","Engebritson Land Survey, Inc.",57,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 30.0, 'reasoning': 'The name and input category both indicate surveying, but in rare cases, land surveying firms may also provide engineering services. However, the rules specify Surveying as a separate category unless included within Engineering.'}]",7.0,0
Firm,Engineering - Civil,Engineer,"Engineering Solutions, LLP","ENGINEERING SOLUTIONS, LLP",59,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'Engineering Solutions' could imply a broader service, but 'Engineering - Civil' is explicit in the input.""}]",7.0,0
Firm,Survey,"Engineer, Planner, Surveyor","Fodrea Land Group, Inc.","FODREA LAND GROUP, INC.",62,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil, Planning, Surveying', 'confidence': 60.0, 'reasoning': 'Entity Subgroup ID lists Engineer, Planner, Surveyor, but the primary category is Survey. If the firm is multi-disciplinary, Engineering could be considered.'}]",7.0,0
Firm,Engineering - Civil,Engineer,"Forsgren Associates, Inc.","Forsgren Associates, Inc.",63,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'Associates' could imply multiple specialties, but 'Engineering - Civil' is explicit.""}]",7.0,0
Firm,Survey,Surveyor,Garber Associates,GARBER ASSOCIATES,65,Private,Surveying,,99.0,[],7.0,0
Firm,Survey,Surveyor,"Gradetek, PLLC","GRADETEK, PLLC",66,Private,Surveying,,99.0,[],7.0,0
Firm,,Engineer,Great Basin Engineering South,,67,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name 'Great Basin Engineering South' and the subgroup 'Engineer' indicate an engineering firm. 'Full Service' could be a candidate if more information was available, but not explicit here.""}]",7.0,0
Firm,,Surveyor,Hadfield Survey,Hadfield Survey,68,Private,Surveying,,98.0,[],7.0,0
Firm,Engineering - Full Service,Engineer,"Harper-Leavitt Engineering, Inc.","Harper-Leavitt Engineering, Inc.",69,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is explicitly mentioned in the category.""}]",7.0,0
Firm,Survey,Surveyor,Hastings Land Surveying,HASTINGS LAND SURVEYING,72,Private,Surveying,,98.0,[],7.0,0
Firm,,Surveyor,Helm Survey,Helm Survey,73,Private,Surveying,,98.0,[],7.0,0
Firm,Engineering - Full Service,Engineer,"Horrocks Engineers, Inc.",Horrocks LLC,75,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is specified in the category, so it is most accurate to use that as the subgroup.""}]",7.0,0
Firm,Survey,Surveyor,"Idaho Construction Surveying/Landtech, Inc.","IDAHO CONSTRUCTION SURVEYING/LANDTECH, INC.",76,Private,Surveying,,97.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 60.0, 'reasoning': ""The name includes 'Construction Surveying', which could indicate civil engineering, but the primary activity is surveying.""}]",7.0,0
Firm,Survey,Surveyor,"Idaho Survey Group, LLC","Idaho Survey Group, LLC",77,Private,Surveying,,99.0,[],7.0,0
Firm,,Surveyor,J R Weissrock Co,J R Weissrock Co,82,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 50.0, 'reasoning': ""No category is given, but 'Surveyor' in the subgroup and the company name suggest surveying as the primary activity.""}]",7.0,0
Firm,Engineering - Full Service,Engineer,"J-U-B Engineers, Inc. (Boise) (Johnson, Underkofler & Briggs)","J-U-B Engineers, Inc.",83,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 80.0, 'reasoning': ""The name and input suggest a general engineering firm, but 'Full Service' is specified in the category, so it is most accurate to use that as the subgroup.""}]",7.0,0
Firm,,Engineer,J.J. Howard Consulting Engineers,J.J. HOWARD CONSULTING ENGINEERS,84,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name includes 'Consulting Engineers', which often implies a range of engineering services, but without explicit mention of 'Full Service', defaulting to NULL is more consistent.""}]",7.0,0
Firm,,Engineer,J.J. Howard Engineering,J.J. HOWARD ENGINEERING,85,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 65.0, 'reasoning': ""The name 'Engineering' could imply a broad service, but without explicit specialty, NULL is more consistent.""}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor",J.J. Howard Engineering and Surveying,J.J. HOWARD ENGINEERING AND SURVEYING,86,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The name includes 'Surveying', but the primary category in the input is 'Engineering - Civil', so Engineering is prioritized.""}]",7.0,0
Firm,,Engineer,J.J. Howard Engineers,J.J. HOWARD ENGINEERS,87,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 65.0, 'reasoning': ""The name 'Engineers' could imply a broad service, but without explicit specialty, NULL is more consistent.""}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor","J.J. Howard, LLC","J.J. HOWARD, LLC",88,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The input includes 'Surveyor', but the primary category is 'Engineering - Civil', so Engineering is prioritized.""}]",7.0,0
Firm,Survey,Surveyor,"John Austin Surveying, P.C.","JOHN AUSTIN SURVEYING, P.C.",89,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Engineering - Full Service,Engineer,Johnson Engineering,JOHNSON ENGINEERING,90,Private,Engineering,Full Service,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': ""If 'Full Service' is not explicitly stated, default to blank, but the input data specifies 'Full Service'.""}]",7.0,0
Firm,Survey,Surveyor,Johnson Surveying NW,"JOHNSON SURVEYING, LLC",93,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor","Keller Associates, Inc.","KELLER ASSOCIATES, INC.",95,Private,Engineering,Civil,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil, Surveying', 'confidence': 60.0, 'reasoning': ""The input lists both Engineer and Surveyor, so it could be 'Civil, Surveying' as the subgroup, but the primary specialty is Civil Engineering.""}]",7.0,0
Firm,Planning,Planner,Kent Brown Planning Services LLC,KENT BROWN PLANNING SERVICES LLC,96,Private,Other,,60.0,"[{'entity_group_id': 'Private', 'entity_category': 'Agency', 'entity_subgroup_id': 'Urban Renewal', 'confidence': 30.0, 'reasoning': 'If the planning services are for a public agency, it could be classified as Agency - Urban Renewal, but the LLC and context suggest a private planning consultant.'}]",6.0,1
Firm,Survey,Surveyor,"Kestrel Land Surveying, LLC","KESTREL LAND SURVEYING, LLC",97,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Land', 'confidence': 40.0, 'reasoning': ""The name and input category both indicate surveying, but if the firm also provides engineering services, 'Engineering' with 'Land' as a subgroup could be considered. However, no such indication is present here.""}]",7.0,0
Firm,Engineering - Civil,Engineer,"KM Engineering, LLP","KM ENGINEERING, LLP",98,Private,Engineering,Civil,99.0,[],7.0,0
Firm,Engineering - Civil,"Engineer, Planner, Surveyor","Land Group, Inc. (The)","LAND GROUP, INC. (THE)",100,Private,Engineering,"Civil, Planning, Surveying",95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup and 'Land' in the name could suggest a surveying firm, but the primary category is engineering with multiple specialties.""}]",7.0,0
Firm,Survey,Surveyor,"Land Solutions, Land Surveying and Consulting, PC","LAND SOLUTIONS, LAND SURVEYING AND CONSULTING, PC",101,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 20.0, 'reasoning': ""If the consulting aspect was dominant and not related to surveying, 'Other' could be considered, but all evidence points to surveying.""}]",7.0,0
Firm,,"Engineer, Planner","Landmark Engineering & Planning, Inc.","LANDMARK ENGINEERING & PLANNING, INC.",102,Private,Engineering,Planning,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""If the firm was not actually an engineering firm, 'Other' could be considered, but the name and subgroup both indicate engineering and planning.""}]",7.0,0
Firm,"Engineering - Civil, Structural",Engineer,"Leavitt & Associates Engineers, Inc.","Leavitt & Associates Engineers, Inc.",103,Private,Engineering,"Civil, Structural",98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 70.0, 'reasoning': ""The name includes 'Associates Engineers' which could imply multiple specialties, but 'Civil, Structural' is explicitly stated in the input category.""}]",7.0,0
Firm,,Engineer,"Loveless Engineering, Inc.",,104,Private,Engineering,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name is generic and does not specify a specialty, but 'Engineering' is clear from both the name and subgroup.""}]",7.0,0
Firm,Survey,Surveyor,"Marks Land Surveying, LLC","Marks Land Surveying, LLC",106,Private,Surveying,,99.0,[],7.0,0
Firm,Engineering - Civil,Engineer,"Matrix Engineering, Inc.","MATRIX ENGINEERING, INC.",108,Private,Engineering,Civil,99.0,[],7.0,0
Firm,,Engineers,"MTC, Inc.","MTC, INC.",111,Private,Engineering,,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name 'MTC, Inc.' is ambiguous, but the subgroup 'Engineers' suggests a general engineering firm.""}]",7.0,0
Firm,,Surveyor,Myers Survey,,113,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",7.0,0
Firm,,Surveyor,Pacific Land Surveys,,115,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Engineering - Full Service,"Engineer, Planner, Surveyor","Parametrix, Inc.","Parametrix, Inc.",116,Private,Engineering,Full Service,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': ""Surveying is mentioned, but 'Full Service' engineering and multiple disciplines are indicated, so Engineering is more appropriate.""}]",7.0,0
Firm,Survey,Surveyor,"Porter's Land Surveying, Inc.","PORTER'S LAND SURVEYING, INC.",119,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 30.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor","Quadrant Consulting, Inc.","QUADRANT CONSULTING, INC.",121,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': 'Surveyor is mentioned, but the primary category is Civil Engineering, so Engineering is more appropriate.'}]",7.0,0
Firm,Engineering - Civil,"Engineer, Planner, Surveyor","Reeve & Associates, Inc.","REEVE & ASSOCIATES, INC.",122,Private,Engineering,"Civil, Planning, Surveying",95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': 'NULL', 'confidence': 70.0, 'reasoning': ""The presence of 'Surveyor' in the subgroup and 'Survey' in the category could indicate a surveying firm, but the primary category is engineering with multiple specialties.""}]",7.0,0
Firm,Engineering - Full Service,Engineer,"Riedesel Engineering, Inc.","RIEDESEL ENGINEERING, INC.",126,Private,Engineering,Full Service,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""If 'Full Service' is not a recognized subgroup, could default to NULL, but rule specifies to use 'Full Service' if known.""}]",7.0,0
Firm,Survey,Surveyor,Ringel Land Survey,"RLS PROFESSIONAL SERVICES, P.A.",127,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 50.0, 'reasoning': 'If the firm also provides engineering services, could be classified under engineering, but no evidence in the name or other fields.'}]",7.0,0
Firm,,Builder,"RMC Construction, L.L.C.","RMC CONSTRUCTION, L.L.C.",128,Private,Builder,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""The name includes 'Construction', which by rule would make it a Contractor, but the subgroup is 'Builder', so Builder is prioritized.""}]",7.0,0
Firm,,Surveyor,Robert Nelson Land Surveys,ROBERT NELSON LAND SURVEYS,129,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 50.0, 'reasoning': 'If the firm also provides engineering services, could be classified under engineering, but the name and fields indicate surveying.'}]",7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor", Rock Solid Civil LLC,Rock Solid Civil LLC,130,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 70.0, 'reasoning': ""The input includes 'Surveyor' in the subgroup, and the name could indicate surveying services, but the primary category is 'Engineering - Civil', so Engineering is prioritized.""}]",7.0,0
Firm,Survey,"Engineer, Surveyor","Rodney L Baldwin, PE/LS",,131,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Civil', 'confidence': 60.0, 'reasoning': ""The presence of 'PE' (Professional Engineer) and 'Engineer' in the subgroup suggests engineering, but the main category is 'Survey', so Surveying is prioritized.""}]",7.0,0
Firm,,Surveyor,"Sawtooth Construction Staking, LLC.",,133,Private,Surveying,,95.0,[],7.0,0
Firm,Survey,Surveyor,"Sawtooth Land Surveying, LLC","Sawtooth Land Surveying, LLC",134,Private,Surveying,,100.0,[],7.0,0
